control_id,technique_id,mapping_type,matrix
ac-1,T1556.006,mitigates,nist-800-53-r5
ac-1,T1556.007,mitigates,nist-800-53-r5
ac-10,T1137,mitigates,nist-800-53-r5
ac-10,T1137.002,mitigates,nist-800-53-r5
ac-10,T1185,mitigates,nist-800-53-r5
ac-10,T1528,mitigates,nist-800-53-r5
ac-11,T1021.001,mitigates,nist-800-53-r5
ac-11,T1563.002,mitigates,nist-800-53-r5
ac-12,T1021.001,mitigates,nist-800-53-r5
ac-12,T1072,mitigates,nist-800-53-r5
ac-12,T1185,mitigates,nist-800-53-r5
ac-12,T1563.002,mitigates,nist-800-53-r5
ac-12,T1505.005,mitigates,nist-800-53-r5
ac-14,T1137.002,mitigates,nist-800-53-r5
ac-16,T1020.001,mitigates,nist-800-53-r5
ac-16,T1070,mitigates,nist-800-53-r5
ac-16,T1070.001,mitigates,nist-800-53-r5
ac-16,T1222,mitigates,nist-800-53-r5
ac-16,T1505,mitigates,nist-800-53-r5
ac-16,T1537,mitigates,nist-800-53-r5
ac-16,T1547.007,mitigates,nist-800-53-r5
ac-16,T1548.003,mitigates,nist-800-53-r5
ac-16,T1550.001,mitigates,nist-800-53-r5
ac-16,T1552.005,mitigates,nist-800-53-r5
ac-16,T1558,mitigates,nist-800-53-r5
ac-16,T1558.003,mitigates,nist-800-53-r5
ac-16,T1565,mitigates,nist-800-53-r5
ac-16,T1565.001,mitigates,nist-800-53-r5
ac-16,T1565.002,mitigates,nist-800-53-r5
ac-16,T1567,mitigates,nist-800-53-r5
ac-16,T1602.002,mitigates,nist-800-53-r5
ac-16,T1003,mitigates,nist-800-53-r5
ac-16,T1025,mitigates,nist-800-53-r5
ac-16,T1041,mitigates,nist-800-53-r5
ac-16,T1048,mitigates,nist-800-53-r5
ac-16,T1048.002,mitigates,nist-800-53-r5
ac-16,T1048.003,mitigates,nist-800-53-r5
ac-16,T1052,mitigates,nist-800-53-r5
ac-16,T1052.001,mitigates,nist-800-53-r5
ac-16,T1070.002,mitigates,nist-800-53-r5
ac-16,T1114,mitigates,nist-800-53-r5
ac-16,T1114.001,mitigates,nist-800-53-r5
ac-16,T1114.002,mitigates,nist-800-53-r5
ac-16,T1114.003,mitigates,nist-800-53-r5
ac-16,T1213,mitigates,nist-800-53-r5
ac-16,T1213.001,mitigates,nist-800-53-r5
ac-16,T1213.002,mitigates,nist-800-53-r5
ac-16,T1222.001,mitigates,nist-800-53-r5
ac-16,T1222.002,mitigates,nist-800-53-r5
ac-16,T1505.002,mitigates,nist-800-53-r5
ac-16,T1548,mitigates,nist-800-53-r5
ac-16,T1552,mitigates,nist-800-53-r5
ac-16,T1552.004,mitigates,nist-800-53-r5
ac-16,T1557.002,mitigates,nist-800-53-r5
ac-16,T1558.002,mitigates,nist-800-53-r5
ac-16,T1558.004,mitigates,nist-800-53-r5
ac-16,T1564.004,mitigates,nist-800-53-r5
ac-16,T1602,mitigates,nist-800-53-r5
ac-16,T1602.001,mitigates,nist-800-53-r5
ac-16,T1003.003,mitigates,nist-800-53-r5
ac-16,T1005,mitigates,nist-800-53-r5
ac-16,T1040,mitigates,nist-800-53-r5
ac-16,T1119,mitigates,nist-800-53-r5
ac-16,T1530,mitigates,nist-800-53-r5
ac-16,T1557,mitigates,nist-800-53-r5
ac-16,T1070.008,mitigates,nist-800-53-r5
ac-16,T1647,mitigates,nist-800-53-r5
ac-17,T1020.001,mitigates,nist-800-53-r5
ac-17,T1021.001,mitigates,nist-800-53-r5
ac-17,T1047,mitigates,nist-800-53-r5
ac-17,T1059,mitigates,nist-800-53-r5
ac-17,T1059.001,mitigates,nist-800-53-r5
ac-17,T1059.002,mitigates,nist-800-53-r5
ac-17,T1059.005,mitigates,nist-800-53-r5
ac-17,T1059.008,mitigates,nist-800-53-r5
ac-17,T1070,mitigates,nist-800-53-r5
ac-17,T1070.001,mitigates,nist-800-53-r5
ac-17,T1219,mitigates,nist-800-53-r5
ac-17,T1537,mitigates,nist-800-53-r5
ac-17,T1543,mitigates,nist-800-53-r5
ac-17,T1547.003,mitigates,nist-800-53-r5
ac-17,T1547.004,mitigates,nist-800-53-r5
ac-17,T1547.009,mitigates,nist-800-53-r5
ac-17,T1550.001,mitigates,nist-800-53-r5
ac-17,T1558,mitigates,nist-800-53-r5
ac-17,T1558.003,mitigates,nist-800-53-r5
ac-17,T1565,mitigates,nist-800-53-r5
ac-17,T1565.001,mitigates,nist-800-53-r5
ac-17,T1565.002,mitigates,nist-800-53-r5
ac-17,T1602.002,mitigates,nist-800-53-r5
ac-17,T1609,mitigates,nist-800-53-r5
ac-17,T1610,mitigates,nist-800-53-r5
ac-17,T1021,mitigates,nist-800-53-r5
ac-17,T1021.002,mitigates,nist-800-53-r5
ac-17,T1021.003,mitigates,nist-800-53-r5
ac-17,T1021.004,mitigates,nist-800-53-r5
ac-17,T1021.005,mitigates,nist-800-53-r5
ac-17,T1021.006,mitigates,nist-800-53-r5
ac-17,T1037,mitigates,nist-800-53-r5
ac-17,T1037.001,mitigates,nist-800-53-r5
ac-17,T1059.003,mitigates,nist-800-53-r5
ac-17,T1059.004,mitigates,nist-800-53-r5
ac-17,T1059.006,mitigates,nist-800-53-r5
ac-17,T1059.007,mitigates,nist-800-53-r5
ac-17,T1070.002,mitigates,nist-800-53-r5
ac-17,T1114,mitigates,nist-800-53-r5
ac-17,T1114.001,mitigates,nist-800-53-r5
ac-17,T1114.002,mitigates,nist-800-53-r5
ac-17,T1114.003,mitigates,nist-800-53-r5
ac-17,T1137,mitigates,nist-800-53-r5
ac-17,T1137.002,mitigates,nist-800-53-r5
ac-17,T1213,mitigates,nist-800-53-r5
ac-17,T1213.001,mitigates,nist-800-53-r5
ac-17,T1213.002,mitigates,nist-800-53-r5
ac-17,T1505.004,mitigates,nist-800-53-r5
ac-17,T1547.012,mitigates,nist-800-53-r5
ac-17,T1547.013,mitigates,nist-800-53-r5
ac-17,T1552,mitigates,nist-800-53-r5
ac-17,T1552.002,mitigates,nist-800-53-r5
ac-17,T1552.004,mitigates,nist-800-53-r5
ac-17,T1557.002,mitigates,nist-800-53-r5
ac-17,T1558.002,mitigates,nist-800-53-r5
ac-17,T1558.004,mitigates,nist-800-53-r5
ac-17,T1563,mitigates,nist-800-53-r5
ac-17,T1563.001,mitigates,nist-800-53-r5
ac-17,T1563.002,mitigates,nist-800-53-r5
ac-17,T1602,mitigates,nist-800-53-r5
ac-17,T1602.001,mitigates,nist-800-53-r5
ac-17,T1612,mitigates,nist-800-53-r5
ac-17,T1613,mitigates,nist-800-53-r5
ac-17,T1619,mitigates,nist-800-53-r5
ac-17,T1040,mitigates,nist-800-53-r5
ac-17,T1119,mitigates,nist-800-53-r5
ac-17,T1133,mitigates,nist-800-53-r5
ac-17,T1530,mitigates,nist-800-53-r5
ac-17,T1552.007,mitigates,nist-800-53-r5
ac-17,T1557,mitigates,nist-800-53-r5
ac-17,T1070.008,mitigates,nist-800-53-r5
ac-17,T1505.005,mitigates,nist-800-53-r5
ac-17,T1647,mitigates,nist-800-53-r5
ac-18,T1011,mitigates,nist-800-53-r5
ac-18,T1011.001,mitigates,nist-800-53-r5
ac-18,T1020.001,mitigates,nist-800-53-r5
ac-18,T1070,mitigates,nist-800-53-r5
ac-18,T1070.001,mitigates,nist-800-53-r5
ac-18,T1558,mitigates,nist-800-53-r5
ac-18,T1558.003,mitigates,nist-800-53-r5
ac-18,T1565,mitigates,nist-800-53-r5
ac-18,T1565.001,mitigates,nist-800-53-r5
ac-18,T1565.002,mitigates,nist-800-53-r5
ac-18,T1602.002,mitigates,nist-800-53-r5
ac-18,T1070.002,mitigates,nist-800-53-r5
ac-18,T1552,mitigates,nist-800-53-r5
ac-18,T1552.004,mitigates,nist-800-53-r5
ac-18,T1557.002,mitigates,nist-800-53-r5
ac-18,T1558.002,mitigates,nist-800-53-r5
ac-18,T1558.004,mitigates,nist-800-53-r5
